bookId,title,genres
1,"Numerical Algorithms: Methods for Computer Vision, Machine Learning, and Graphics",Adventure|Animation|Children|Comedy|Fantasy
2,Concrete Abstractions: An Introduction to Computer Science Using Scheme,Adventure|Children|Fantasy
3,Product Manufacturing and Cost Estimating Using Cad/Cae. The Computer Aided Engineering Design Series,Comedy|Romance
4,Essential Discrete Mathematics for Computer Science,Comedy|Drama|Romance
5,Mathematics for Computer Science,Comedy
6,Discrete Mathematics for Computer Science,Action|Crime|Thriller
7,Essential discrete mathematics for computer science,Comedy|Romance
8,Digital Principles and Logic Design (Engineering) (Computer Science) (Engineering Series),Adventure|Children
9,Classic Computer Science Problems in Python,Action
10,Deep Learning for Computer Vision with Python,Action|Adventure|Thriller
11,"Computer Architecture, Sixth Edition: A Quantitative Approach",Comedy|Drama|Romance
12,Computer Systems: A Programmer's Perspective,Comedy|Horror
13,Computer Organization and Architecture Designing for Performance 10th Edition,Adventure|Animation|Children
14,The Elements of Computing Systems: Building a Modern Computer from First Principles,Drama
15,"Digital Design and Computer Architecture, Second Edition",Action|Adventure|Romance
16,The Design and Analysis of Computer Algorithms,Crime|Drama
17,The Design and Analysis of Computer Algorithms,Drama|Romance
18,"Numerical Methods: Design, Analysis, and Computer Implementation of Algorithms",Comedy
19,"Linux: This Book Includes 4 Manuscripts. The Underground Bible to the UNIX Operating System with Tools On Security and Kali Hacking to Understand Computer Programming, Data Science and Command Line",Comedy
20,"Computer Networking: A Top-Down Approach, 7th Edition",Action|Comedy|Crime|Drama|Thriller
21,Computers and Intractability: A Guide to the Theory of NP-Completeness,Comedy|Crime|Thriller
22,"Theory of Computer Science: Automata, Languages and Computation",Crime|Drama|Horror|Mystery|Thriller
23,"Intro to Python forComputer Science and Data Science : Learning to Program with AI, Big Data and the Cloud",Action|Crime|Thriller
24,"Practical Deep Learning for Cloud, Mobile, and Edge: Real-World AI & Computer-Vision Projects Using Python, Keras & TensorFlow",Drama|Sci-Fi
25,"Practical Deep Learning for Cloud, Mobile, and Edge: Real-World AI & Computer-Vision Projects Using Python, Keras & TensorFlow",Drama|Romance
26,Digital Computer Electronics,Drama
27,Data and Computer Communications,Children|Drama
28,"NETWORKING HACKING: Complete guide tools for computer wireless network technology, connections and communications system. Practical penetration of a network via services and hardware.",Drama|Romance
29,Machine Learning in VLSI Computer-Aided Design,Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,"NETWORKING HACKING: Complete guide tools for computer wireless network technology, connections and communications system. Practical penetration of a network via services and hardware.",Crime|Drama
31,Antennas and Radiowave Propagation (Mcgraw Hill Series in Electrical and Computer Engineering),Drama
32,Computer-aided Design of Electrical Machines,Mystery|Sci-Fi|Thriller
