bookId,book_name,author_name,subject_name,books_count,availability,cover_page,syllabus_pdf,ratings
1,"Engineering Mathematics. A Foundation for Electronic, Electrical, Communications and Systems Engineers",Anthony Croft,Engineering Mathematics,20,Yes,https://covers.zlibcdn2.com/covers100/books/e9/b8/20/e9b820f264757c45b1dcd088a562ae04.jpg,https://1lib.in/dl/2936956/1996ed,2
2,Advanced engineering mathematics with MATLAB,Dean G. Duffy,Engineering Mathematics,15,Yes,https://covers.zlibcdn2.com/covers100/books/c5/4c/4d/c54c4de9429c702c8307880fbfc4edaf.jpg,https://1lib.in/dl/2871355/0fbc44,5
3,Advanced Engineering Mathematics,Dennis G. Zill,Engineering Mathematics,26,Yes,https://covers.zlibcdn2.com/covers100/books/0f/c6/24/0fc6245f6872ea84594909892ce0222c.jpg,https://1lib.in/dl/3350403/c0a5b2,2
4,Advanced Engineering Mathematics - Solutions Manual,Erwin Kreyszig,Engineering Mathematics,15,Yes,https://covers.zlibcdn2.com/covers100/books/4a/0c/be/4a0cbebc61f031d61ff51528c19deb89.jpg,https://1lib.in/dl/599944/0e6d59,1
5,Engineering Mathematics Transforms and Partial Differential Equations,P. Kandasamy,Engineering Mathematics,12,Yes,https://covers.zlibcdn2.com/covers100/books/f1/44/a5/f144a5d08b18abe27cff169ec7f23b5f.jpg,https://1lib.in/dl/6464649/f54050,3
6,"Data Structures and Algorithm Analysis in C++, 3rd Edition  ",Dr. Clifford A. Shaffer,Data structures,20,Yes,https://covers.zlibcdn2.com/covers100/books/7e/a3/c3/7ea3c39173f146f675b63b146d1535f3.jpg,https://1lib.in/dl/1192132/abc3cf,5
7,Data Structures and Algorithm Analysis in C++,Mark A. Weiss,Data structures,18,Yes,https://covers.zlibcdn2.com/covers100/books/10/04/52/100452107988206c2701135ce144cb7b.jpg,https://1lib.in/dl/2345670/3e0924,2
8,Design and Analysis of Data Structures,Niema Moshiri,Data structures,17,Yes,https://covers.zlibcdn2.com/covers100/books/0e/08/90/0e08905e032355157dea3ee6baa268c9.jpg,https://1lib.in/dl/3512251/21160c,4
9,Fundamentals of OOP and Data Structures in Java,Richard Wiener,Data structures,12,Yes,https://covers.zlibcdn2.com/covers100/books/68/7a/e6/687ae66cba6b39f181edcc53c28981e7.jpg,https://1lib.in/dl/466266/180964,4
10,Data Structures and Algorithms Made Easy: Data Structures and Algorithmic Puzzles,Narasimha Karumanchi,Data structures,10,Yes,https://covers.zlibcdn2.com/covers100/books/d9/a0/9e/d9a09e7e092770b490569037e38267ec.jpg,https://1lib.in/dl/2855973/069c02,5
